"","species","citation","entry","lon","lat","comments","year","accepted_name"
"1","Abutilon Avicennae","@schalowErgebnisseDurchforschungSchlesischen1932","Abutilon Avicennae Ratibor: Rübenfeld b. Silberkopf (H. v. Bischoffshausen t. Prof. Schube)!",18.16713,50.13867,"Skrzybnik, gm. Rudnik, pow. raciborski; pole buraków","1932","Abutilon theophrasti Medik."
"2","Abutilon Avicennae","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","Abutilon Avicennae Reichenbach: auf einem Kartoffelacker bei Ndr.-Peilau (Landwirtschaftskammer)!",16.69699,50.69867,"Piława Dolna, gm. Dzierżoniów; na polu ziemniaków","1933","Abutilon theophrasti Medik."
"3","Abutilon Avicennae","@schalowErgebnisseDurchforschungSchlesischen1934","Abutilon Avicennae Breslau: Pirscham (Till)!",17.09257,51.0947,"Wrocław, os. Przedmieście Oławskie","1934","Abutilon theophrasti Medik."
"4","Abutilon avicennae","@schalowErgebnisseDurchforschungSchlesischen1935","Abutilon Avicennae [...] Wohlau: Rübenfeld bei Beschine (Landwirtschaftskammer)!",16.62255,51.43579,"Baszyn, gm. Wińsko, pole buraków","1935","Abutilon theophrasti Medik."
"5","Abutilon avicennae","@schalowErgebnisseDurchforschungSchlesischen1935","Abutilon Avicennae Niesky: Großteich Kaschel (Militzer)!",14.54395,51.34223,"","1935","Abutilon theophrasti Medik."
"6","Acer campestre","@schalowErgebnisseDurchforschungSchlesischen1932","Acer campestre Kanth: Gilgenauer Mühle (Schoepke)!",16.76924,51.00192,"nieistniejący młyn, Kilianów, gm. Kąty Wrocławskie","1932","Acer campestre L."
"7","Acer campestre","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","Acer campestre Görlitz: Landeskrone (Buchs)!",14.93265,51.12933,"","1933","Acer campestre L."
"8","Acer campestre","@schalowErgebnisseDurchforschungSchlesischen1935","Acer campestre [...] Glatz: Mariatal (Kramarz)",16.67606,50.4465,"Kłodzko, obecnie ul. Mariańska","1935","Acer campestre L."
"9","Acer campestre","@schalowErgebnisseDurchforschungSchlesischen1935","Acer campestre [...] Namslau: Nassadel!",17.75094,51.01753,"Jastrzębie, gm. Namysłów","1935","Acer campestre L."
"10","Acer campestre","@schalowErgebnisseDurchforschungSchlesischen1935","Acer campestre Flinsberg: am Kesselschloß (Buchs)!;",15.38201,50.91776,"[góra] Zamkowa, w pobliżu Świeradów Zdrój","1935","Acer campestre L."
"11","Acer campestre","@schalowErgebnisseDurchforschungSchlesischen1936","[...] Acer campestre (Grabenränder bei Dirsdorf)",16.81096,50.68136,"obrzeża rowów, Przerzeczyn Zdrój","1936","Acer campestre L."
"12","Acer negundo","@schalowErgebnisseDurchforschungSchlesischen1932","A. Negundo [...] Kanth: Schosnitzer Ziegelei (Schoepke)!",16.79825,51.02814,"Sośnica, gm. Kąty Wrocławskie; cegielnia","1932","Acer negundo L."
"13","Acer negundo","@schalowErgebnisseDurchforschungSchlesischen1932","A. Negundo Liegnitz: Bahngelände (Buchs)!; [...]",16.17249,51.21445,"Legnica, tereny kolejowe","1932","Acer negundo L."
"14","Acer negundo","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","A. Negundo [...] Kanth: bei der Koslauer Mühle (Schöpke)!",16.72153,51.0393,"Kozłów, gm. Kąty Wrocławskie; przy młynie","1933","Acer negundo L."
"15","Acer negundo","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","A. Negundo Glogau: auf den Dünen bei Kotzemeuschel!; [...]",16.00328,51.729,"Chociemyśl, gm. Kotla, pow. głogowski; na wydmach (być może w lesie na południe od miejscowości)","1933","Acer negundo L."
"16","Acer tataricum","@schalowErgebnisseDurchforschungSchlesischen1935","A. tataricum Frankenstein: am Pausebach (Rauhut)!",16.79622,50.58904,"Ząbkowice Śląskie, [przy rzece] Budzówka","1935","Acer tataricum L."
"17","Achillea Ptarmica","@schalowErgebnisseDurchforschungSchlesischen1932","Achillea Ptarmica [...] Gleiwitz bei den Schrebergärten verwildert (Czmok)!",18.67262,50.30223,"Gliwice; przy ogrodach działkowych","1932","Achillea ptarmica L."
"18","Achillea Ptarmica","@schalowErgebnisseDurchforschungSchlesischen1932","Achillea Ptarmica [...] Grottkau: im Neißegebiet verbreitet!; [...]",17.48037,50.67733,"Grodków; rozpowszechniony w obszarze Nysy [Kłodzkiej]; tu współrzędne pomiędzy miejscowościami Żelazna a Głębocko, gm. Grodków, w obszarze zalewowym rzeki Nysa Kłodzka","1932","Achillea ptarmica L."
"19","Achillea Ptarmica","@schalowErgebnisseDurchforschungSchlesischen1932","Achillea Ptarmica Neurode: mehrfach bei Hausdorf (Kramarz)!; [...]",16.50938,50.63251,"Jugów, gm. Nowa Ruda, pow. kłodzki; często","1932","Achillea ptarmica L."
"20","Aconitum Lycoctonum","@schalowErgebnisseDurchforschungSchlesischen1932","Aconitum Lycoctonum Niederes Gesenke: zwischen Johannisbrunn u. Mohradorf (Dr. Lim­ pricht)",17.71017,49.83034,"Czechy, Johannisbrunn = Jánské Koupele, Mohradorf = Zálužné","1932","Aconitum lycoctonum L."
"21","Acorus Calamus","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","Acorus Calamus Liebenthal: Krummöls (Buchs)!",15.4644,51.04188,"Oleszna Podgórska, gm. Lubomierz, pow. lwówecki","1931","Acorus calamus L."
"22","Acorus Calamus","@schalowErgebnisseDurchforschungSchlesischen1932","Acorus Calamus Liebenthal: am „Viehweg“ bei Mittel-Schmottseiffen (Buchs)!",15.54543,51.04024,"Wieszkowice, Pławna Górna, gm. Lubomierz, pow. lwówecki","1932","Acorus calamus L."
"23","Acorus Calamus","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","Acorus Calamus Neurode: Kol. Wenzelshain bei Hausdorf (Kramarz)",16.52524,50.63072,"Więcław, Jugów, gm. Nowa Ruda, pow. kłodzki","1933","Acorus calamus L."
"24","Acorus calamus","@schalowErgebnisseDurchforschungSchlesischen1934","Acorus Calamus Landeshut: Trautliebersdorf (Strauch)",16.16561,50.70592,"Kochanów, gm. Kamienna Góra","1934","Acorus calamus L."
"25","Adonis aestivalis","@schalowErgebnisseDurchforschungSchlesischen1935","Adonis aestivalis Löwenberg: Mois (Lehrer Meißner t. Buchs)!",15.59344,51.09133,"Mojsz, Lwówek Śląski","1935","Adonis aestivalis L."
"26","Agrimonia eupatoria","@schalowErgebnisseDurchforschungSchlesischen1934","Agrimonia eupatoria Hoyerswerda: Neida (Militzer)",14.2323,51.42281,"","1934","Agrimonia eupatoria L."
"27","Agrimonia odorata","@schalowErgebnisseDurchforschungSchlesischen1934","A. odorata Hoyerswerda: [...] Steinitz (Militzer)",14.38003,51.34184,"","1934","Agrimonia repens L."
"28","Agrimonia odorata","@schalowErgebnisseDurchforschungSchlesischen1934","A. odorata Hoyerswerda: [...] Burghammer, [...]",14.36885,51.47813,"","1934","Agrimonia repens L."
"29","Agrimonia odorata","@schalowErgebnisseDurchforschungSchlesischen1934","A. odorata Hoyerswerda: Rachlau, [...] ",14.27967,51.3559,"","1934","Agrimonia repens L."
"30","Agrimonia odorata","@schalowErgebnisseDurchforschungSchlesischen1935","Agrimonia odorata Ruhland: Jannowitz (Militzer)",13.85115,51.40085,"","1935","Agrimonia repens L."
"31","Agrostemma githago f. latisecta f. nov.","@schalowErgebnisseDurchforschungSchlesischen1935","Agrostemma Githago mit auffällig breiten Kelchzipfeln (f. latisecta f . nov.) Strehlen: Äcker bei Schönbrunn!",17.18909,50.7054,"Strużyna, pola","1935","Agrostemma githago L."
"32","Ailanthus glandulosa Desf.","@schalowErgebnisseDurchforschungSchlesischen1935","Ailanthus glandulosa Desf. Breslau: zahlreiche junge Pflanzen auf den großen Müllabfuhrplätzen nicht selten!",NA,NA,"Wrocław, przy dużych wysypiskach śmieci","1935","Ailanthus altissima (Mill.) Swingle"
"33","Aira caryophyllea","@schalowErgebnisseDurchforschungSchlesischen1936","Am Kaffenberge bei Sakrau beobachtete ich selbst außer Aira caryophyllea und Hypochoeris maculata auch noch verschiedene Rosen, nämlich: Rosa agrestis, R. gallica und den Bastard R. gallica x dumetorum in schoner Ausprägung.",16.88515,50.68428,"Kawia Góra, Zakrzów","1936","Aira caryophyllea L."
"34","Aira praecox","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","Aira praecox Kraschnitz: Tschotschwitz (Schoepke) !",17.38349,51.51576,"Czatkowice, gm. Milicz, pow. milicki","1931","Aira praecox L."
"35","Ajuga Chamaepitys","@schalowErgebnisseDurchforschungSchlesischen1932","Ajuga Chamaepitys Gr.-Strehlitz: Schimischow (Schubert)!",18.2448,50.51796,"Szymiszów, gm. Strzelce Opolskie","1932","Ajuga chamaepitys (L.) Schreb."
"36","Ajuga genevensis X reptans","@schalowErgebnisseDurchforschungSchlesischen1932","A. genevensis X reptans Bolkenhain: Gießmannsdorf (Kruber)",16.10213,50.84151,"Giesmannsdorf, Gostków, gm. Stare Bogaczowice, pow. wałbrzyski","1932","Ajuga genevensis x reptans"
"37","Althaea rosea","@schalowErgebnisseDurchforschungSchlesischen1932","A. rosea Breslau: Schuttplatz in Bischofswalde!",17.09846,51.09952,"Wrocław, Biskupin, wysypisko śmieci","1932","Alcea rosea L."
"38","Alkanna primuliflora","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","Alkanna primuliflora Bunzlau: bei der Villa des Oberförsters (Till)!",15.56535,51.25957,"Bolesławiec; budynek nadleśnictwa","1933","Alkanna primuliflora Griseb."
"39","Physalis Alkekengi","@schalowErgebnisseDurchforschungSchlesischen1934","Physalis Alkekengi [...] Kanth: Bahnhof (Schoepke)!",16.75027,51.03812,"Kąty Wrocławskie, dworzec","1934","Alkekengi officinarum Moench"
"40","Physalis Alkekengi","@schalowErgebnisseDurchforschungSchlesischen1934","Physalis Alkekengi Guhrau: Oberwald (Weidlich)!; [...] ",16.54575,51.64974,"Góra, gm. Góra, las na południe od miejscowości","1934","Alkekengi officinarum Moench"
"41","Physalis alkekengi","@schalowErgebnisseDurchforschungSchlesischen1935","Physalis Alkekengi Jauer: Semmelwitz (Strauch)!",16.2132,51.03772,"Zębowice, gm. Paszowice, pow. Jawor","1935","Alkekengi officinarum Moench"
"42","Allium angulosum","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","A. angulosum Frankenstein: auf Ödland (Rauhut)!",16.81433,50.59396,"Ząbkowice Śląskie, na pustkowiach","1931","Allium angulosum L."
"43","Allium angulosum","@schalowErgebnisseDurchforschungSchlesischen1932","A. angulosum [...] Oppeln: Proskau (Schubert)!",17.86264,50.57635,"Prószków, gm. Prószków, pow. opolski","1932","Allium angulosum L."
"44","Allium angulosum","@schalowErgebnisseDurchforschungSchlesischen1932","A. angulosum [...] Kanth: mehrfach (Schoepke)!; [...]",16.77783,51.02917,"Kąty Wrocławskie, często","1932","Allium angulosum L."
